"","titles","names","dates","ratings","reviews"
"11"," 15 years on... Still the greatest
","jamiedphilips","23 December 2015","
            
            10/10
            
    ","
                I've just re-watched The Lord of the Rings trilogy for the 1000th time tonight... nearly 15 years since the Fellowship of the Rings was released... I still haven't seen a movie that's better, nor close, to any of these three films. The casting is perfection as well as the incredible acting by everyone in the movie. I can still watch these movies back to back and not get bored. They are a light to this world and wouldn't be the same without them.I miss the good old LOTR's days. The best movies ever created. The Return of the King was the best way to end a thrilling journey through middle earth!
                
                    468 out of 493 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"12"," The Lord of the Rings: The Return of the King (2003) - My Precious, This is a Masterful Final Chapter!
","nickmesafilms","4 January 2012","
            
            10/10
            
    ","
                Finally, after a series of magical books by J.R.R. Tolkien, and after the first two movies in a series that redefined cinema, ""The Lord of the Rings"" series finally comes to a close, with ""The Return of the King"". I'm so pleased to be saying the following words. This movie is not just the best in this magical series, but it's also mostly one of the greatest movies ever made on screen. The final story picks up where ""The Two Towers"" left off, where Frodo and Sam are still traveling to Mordor, while Gollum might set them in a trap to capture the ring at last. Then, Gandalf and the gang are still trying to defeat the wrath of Sauron, and finally be able to destroy this deadly ring. Thanks to the incredible masterful directing by Peter Jackson, and thousands of artists and technicians, they all help us dig deeper into this magical world that, only at the movies, we can be able to escape to. The performances are just brilliant and electrifying to watch on screen. Elijah Wood and Sean Astin are just brilliant, continuing their roles as Frodo and Sam, and they still have a lot of heart and soul into their on-screen friendship. Ian McKellen and Viggo Mortensen improves once again with fine and brilliant performances. But out of all that, it's Andy Serkis that should have received a Best Supporting Actor nomination in 2003, for his work as Gollum. Serkis has portrayed such a brilliant character, and the visual enhancements made to create him was all quite super. From an opening flashback involving Smeagol (a.k.a. Gollum) that's super thrilling, to a final setback, Gollum is by far the best character in this movie. Although this movie is set during a long 200 minute run-time, I was just distracted for what this movie had to offer, that I didn't care about how long it was. It has everything you'd expect to see. It's got heartbreak, action, comedy, drama, fantasy, and magic. The special effects are exhilarating, from beginning to end, and it made me wanting for more. The beautiful art direction and costumes made me feel like I escaped to a more beautiful place. The cinematography is challenging in such perfection, and the original score is really with a treat. I also adored the wonderful sound effects, and the memorable film editing. The love stories are touching, the friendship scenes are heartwarming, the fight scenes are groundbreaking, and the finale blends with a perfect mix of heartbreak and hope. I could tell you a thousand reasons why this movie is excellent. This is a movie that loves movies. It's a movie that keeps you wanting for more. All this movie needed was a talented director, a brilliant cast, groundbreaking special effects, incredible art direction, amazing music, and an inspirational storyline. This is such a crowning achievement in cinema. It's one of my all-time favorite movies, and I'm glad this movie won the Best Picture Oscar in 2003. ""LOTR: The Return of the King"", in my review, ""an epic and groundbreaking cinematic masterpiece"".
                
                    5 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"13"," Awesome follow-up with amazing visuals and groundbreaking special effects
","ma-cortes","10 January 2008","
            
            9/10
            
    ","
                The third part in Jackson's trilogy based on the novels written by the great J.R.R Tolkien , picking up shortly after the second one left off . This extraordinary film begins with Frodo (Elijah Wood) , Sam (Sean Astin) along with Gollum/Smeagol (Andy Serkis) continuing the travel towards Mount Doom , the only place where the Ring can be destroyed . Frodo and Sam care the Ring in order to keep it from falling into the hands of its evil creator . Meantime , Gondor is invaded by the Orcs of Mordor and Gandalf (Ian McKellen) and Pippin (Billy Boyd) ride to Minas Tirith . There rules Denethor (John Noble) , father of the deceased Boromir (Sean Bean) , and Faramir (David Wenham) . While Aragorn (Viggo Mortensen) must choose between his two lovers , Eowyn (Miranda Otto) and Arwen(Liv Tyler) . Later on , Aragorn , Legolas (Orlando Jones) , and Gimli (John Rhys Davies) travel to the creepy caves inhabited by the Army of the Dead .This sensational epic adventure is plenty of action , impressive battles , spectacular drama and being pretty entertaining . The movie packs a real sense of wonder and stimulating action set pieces illuminating the full-blown feats of the various protagonists and winding up in overlong battles and a stunning finale . It contains incredible array of technical visual effects by Weta Digital and Weta Workship , among others companies . Sensational cinematography by Andrew Lesnie and spectacular as well as sensitive musical score by Howard Shore , winning deservedly Academy Award . Beautifully realized set design with phenomenal production values . The film provides enough amusement during the three and half hour and stays closer to the novel than any of the former adaptations -mostly animated and in low budget- such as the mediocre effort by Ralph Baski . The motion picture will appeal to Tolkien followers as the neophyte who didn't have seen the previous parts and those unfamiliar with the lengthy literary work . Magnificent direction by Peter Jackson bringing stunningly the imaginary world and mythology of Tolkien to life .
                
                    17 out of 23 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"14"," Breathtaking!
","g-bodyl","10 November 2008","
            
            10/10
            
    ","
                The Return of the King is the best movie ever made to the best trilogy ever done. This movie deserved the eleven Oscars it got including the Editing. Without the editing, this movie would've been over four hours long. Even though this movie is about three and a half hours, it dies not feel like it. The scenes are intense and can tend to be emotional. Gollum is the show-stealer again. As the ring is taking Frodo away from strength, Gollum uses that to get the ring back eventually and drive Sam away. It was kind of sad to see Gollum die along with the Ring in the fires of Mt.Doom. Aragorn deserves to be king of Gondor. He was amazing in this movie(played by Viggo Mortensen). I am glad that Legolas and Gimli were used for comedy. With all the drama and action, there needs to be a bit of comedy before the action overwhelms the movie. The acting is perfect. I liked most of the characters. It was sad when Theoden died. He was great in this series. The music by Howard Shore is even better. You can hear some Celtic tunes during some scenes. I loved the song, ""Into The West"" by Annie Lennox. The effects and the CGI is excellent especially during the battle scenes towards the end. Peter Jackson really put his name into the record books. This is the best fantasy epic, in fact the best movie of all time. I rate this movie 15/10(if the rating system went any higher).
                
                    11 out of 14 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"15"," ""Songs for great halls""
","Steffi_P","26 April 2012","
            
            9/10
            
    ","
                Before Peter Jackson's adaptation of The Lord of the Rings trilogy, the world of high fantasy has not been particularly well-served by cinema. The genre was not even really taken seriously in literature until the 1960s. During the 80s, there was a fad for fantasy movies, but while most of these looked nice and were good enough fun, none of them really had magnificence (although the 1981 Excalibur movie comes pretty close). It was not until the first decade of the 20th century that we saw fantasy cinema's rather delayed coming-of-age.As with the first two movies in the trilogy the transition from novel to screenplay is exceptional. There's a lot more action and a lot less dialogue in this one, and yet the plot is still clear and the narrative never feels repetitive. The idea of binding the various story lines together in time – such as when the Witch-King arises near Frodo and Sam, but the tower of green light is seen miles away by Pippin – are great for building up the tension. They also really help to establish this vision of Middle Earth as a real place with vast dimensions.And again Jackson proves himself to be an action director with that little extra flair of intelligence. At first glance his work seems very much aimed at those with short attention spans, but there is so much loaded into each and every shot, the camera following an orc as he falls to the ground, or coming to rest upon a woman holding a baby as panic erupts in the city. His horror-tinged imagining of certain scenes is truly unnerving.There is some all-round improved acting in this instalment. Perhaps the years wrapped up in the production were taking the necessary toll on the cast. There are some truly heartfelt moments from Bernard Hill and a wonderfully spirited turn from Miranda Otto. For me, Billy Boyd always stood out as the finest of the hobbit performers, and this is the movie where he comes to the forefront, demonstrating great dignity and emotion. The best performance however, as previously, belongs to Ian McKellen as Gandalf. There's something strangely knowing in his final scene.One of the unfortunate things about The Return of the King is that it suffers worse than the first two movies from a lack of dignity at certain times. The CGI Gollum is too cutesy and it's hard to believe in him as an antagonist, although funnily enough the glimpse we get of partly-transformed Smeagol biting into a fish with Andy Serkis in prosthetics would have been perfect for the whole thing. Some of the most serious bits become silly. I remember laughing out loud in the cinema when Gandalf says ""So passes Denethor"" when the man is still pathetically running around in flames.But by-and-large, this is an exceptional production, with its most outstanding touches in the way the whole thing has been put together. When the beacons are lit stretching a line across a mountain range, it's done in such a smooth, rhythmic way we are simultaneously impressed by the immense scale, the beauty of the landscape and the sheer brilliance of it as a means of communication. When Pippin's haunting song continues in the background as the men of Gondor ride off to their doom, we feel the depth of what is going on in a way the images alone could not impart. This is the kind of thinking you don't see in those numerous 80s fantasy movies, or in sci-fi's big trilogy, Star Wars. The Lord of the Rings movies put us right within both the excitement and the sadness of the story, for me with greater weight than Tolkien himself achieved. It elevates this above being merely another CGI action flick and grants the fantasy genre a status and stature it has never enjoyed before.
                
                    9 out of 11 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"16"," The Conclusion of an Adventure in the Same Level of the Other Two Parts of a Splendid Story
","claudio_carvalho","29 May 2004","
            
            10/10
            
    ","
                The conclusion of the best movie of fantasy and adventure ever made is in the same level of the other two parts of this splendid story. The journey of Frodo Baggins and his friends in this movie is again outstanding, stunning, a masterpiece. I believe there is nothing else to be said about this fantastic movie. The eleven Oscars, the IMDB User rating of 9,0 with 62,820 votes and the 2,219 reviews are sufficient. I just want to record my enthusiasm with such a film. Unfortunately the same did not happen with the sequence of Matrix, where the first film was excellent, but the sequences were very disappointing. My vote is ten. Title (Brazil): `O Senhor dos Anéis: O Retorno do Rei' (`Lord of the Rings: The Return of the King, The')
                
                    23 out of 34 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"17"," Good one
","bevo-13678","31 March 2020","
            
            10/10
            
    ","
                They chucked the ring into a volcano or something.
                
                    4 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"18"," THE BEST TRILOGY IN HISTORY
","stevesky-15087","5 February 2022","
            
            10/10
            
    ","
                As I'm writing this I can't quite believe that this was 20 years ago. I've seen these three films a gazillion times and regularity watch them at least once a year. The Two Towers is my favourite and when Retun came out I didn't like the ending... mostly because I think I was just sad to realise it was all over but also because the last half hour feels like it has about three endings and keels going. But now regard it as pure perfection. I don't think a film series can be beaten for music, script or acting. It's masterful in all three. I think we can forgive Jackson for the few directing failings along the way, the. Man had a lot on his plate lol. But seriously I'll be watching these films forever. Simply The GOAT. If you don't love these movies then you seriously have no soul. And if you've read the books you'll know that it was a near impossibly task to make them at all. Jackson has pulled of the seemingly impossible.
                
                    5 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"19"," I gotta tell ya. It was perfect, perfect, everything down to the last minute details
","jaspercobar","17 September 2023","
            
            10/10
            
    ","
                Lord of the rings return of the king, is breathtaking. It brought the book to life, and made it better. It was super lengthy, but I honestly liked it that way. It means it had time for a lot of epic events, and the battles could be longer. It also made it more emotional, dragging out the ending, it wrapped up well. It is the best movie I have seen in a few months. I had already seen it before 5 years ago, and I don't remember loving it. So my expectations weren't that high, but it was amazing. I guess the movie is just a bit sophisticated for an 8 year old, but brilliant for a 13 year old. At times the C. G. I was pretty bad, but the action, the cast, the story, the emotion, the scenery, the acting, and the charisma of Pippin, and Gollum were perfect.
                
                    5 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"20"," The Greatest Film Trilogy of All Time
","CinemaClown","5 October 2013",NA,"
                Every tale embarks us on a new journey, every journey eventually comes to its inevitable end. As for The Lord of the Rings, The Fellowship of the Ring turned out to be a genre-defining classic. The Two Towers somehow raised the bar to an even higher level. And although it did seem near- impossible for The Return of the King to triumph over such towering expectations but against all odds, this final journey of Middle-Earth delivers everything to bring J.R.R. Tolkien's legendary saga to an epic & magnificent conclusion.The Lord of the Rings: The Return of the King is the culmination of the wonderful journey we embarked on with The Fellowship of the Ring & picks up the story right from where it was left off in The Two Towers. The story finds Frodo & Sam continuing their quest towards Mount Doom in order to destroy the One Ring while the rest of the fellowship prepares for their final battle as the dark lord Sauron turns his eye on Gondor. But in the end, it all comes down to Frodo & the One Ring to decide the final fate of Middle- Earth.Directed by Peter Jackson, this remains his finest directional achievement & The Lord of the Rings as a whole is certainly his magnum opus. Making all films in a trilogy succeed on every scale is no mere achievement but to make the next instalment work better than its predecessor two times in a row is even rarer. And yet, Jackson manages to accomplish exactly that with his sweeping cinematic vision, stunning eye for detail & in-depth knowledge of balancing emotional storytelling with large-scale action entertainment.The screenplay is cleverly adapted from the source material as many right choices were made in the decision of what to include & what to leave out from the final script. Fran Walsh also tries her hand at direction as the opening prologue is her creation. Being the final film in the trilogy, there's a sense of urgency in this chapter but it still ties up all the loose ends appropriately, gives proper farewells to its characters & delivers a high-quality entertainment of such epic proportions that fans couldn't have asked for a better finale.Coming to the technical aspects, Production design adds even more amazing & meticulously detailed sets to its story, the dazzling cinematography further magnifies the visual presentation to make the cinematic experience even more magical and Howard Shore's epic score is filled with tracks that are truly imposing, beautiful & further expand the domain of its predecessors as the soundtrack of The Lord of the Rings remains the greatest work of his illustrious career.VFX is once again its most groundbreaking feat, however, this time it isn't a slight advancement but a pretty huge leap. Everything that made its brief appearance in the first two chapters is fully explored in this finale plus the length, scope & magnitude of battle sequences it offers is second to none. Also, with better rendering of its CGI characters & stunning level of craftsmanship in costumes, make-up & sound, The Return of the King sets a new benchmark for visuals in cinema that remains unequaled, as of today, in the scope of how much it contributed to the film's art while elevating the whole story.Despite running at 201 minutes, there were many things which got omitted from the theatrical cut & that's why the extended edition is more recommended. Also, many happen to criticize the last 45 minutes it takes to finally end but if you ever watch The Lord of the Rings in one sitting, then it'll make perfect sense to you because not only is it a reasonably enough time to recover the audience from what is an emotionally draining experience but also provides proper farewells that each one of its characters deserved.Coming to the performances, The Fellowship of the Ring & The Two Towers introduced almost all characters we needed to be acquainted with & The Return of the King simply brings their arcs to completion. Unlike the previous two films in which Gandalf the Grey (Ian McKellen) & Gollum (Andy Serkis) turned out to be the most impressive characters, respectively, there is no single dominating performance in this chapter as its entire cast puts up a more mature on-screen portrayal of their respective characters & never really leaves anything major to complain about.J.R.R. Tolkien's The Lord of the Rings is unanimously hailed by critics & readers alike as the greatest fantasy novel ever written & a milestone in the works of literature. And it's amazing that its film adaptation follows the same route in the world of cinema. It did catapult Peter Jackson into the big leagues of Hollywood while also setting up Weta Digital as one of the foremost VFX studios on the planet but where it made its biggest impact is on cinema itself for it changed everything there ever was about epic & fantasy filmmaking, is one of the most important films of the modern era & a landmark moment in the annals of cinema.On an overall scale, The Return of the King is more than just a fitting conclusion to The Lord of the Rings. It triumphs as one of the greatest sequels ever made but along with The Fellowship of the Ring & The Two Towers, it also makes up for cinema's greatest motion picture trilogy that will not soon, if ever, find its equal. An unprecedented achievement in the world of filmmaking that's epic in every sense of the word, The Lord of the Rings, in some ways, is to cinema what its source material was to literature & it is destined to remain a standard by which all future film trilogies will be measured for decades to come.
                
                    4 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"21"," The End Of The Epic Journey
","zkonedog","8 March 2017","
            
            10/10
            
    ","
                In terms of the individual installments of Peter Jackson's Lord of the Rings epic trilogy, Return of the King may actually be my least favorite (if only by a hair). The character-building isn't needed, like in Fellowship, and the battles are no better than those in Two Towers. The film's length (even the 3.5 hour theatrical cut) borders on prohibitive. Yet, it remains a slam-dunk 10/10 effort. The reason? The emotional payoffs to all the threads set up in those previous two installments.For a very basic overview, Return of the King sees the two primary plots of the trilogy reach their apex:-Frodo (Elijah Wood), Sam (Sean Astin), & Gollum/Smeagle (Andy Serkis) finally reach Mordor--but not before a significant detour along the way and a gut-wrenching decision at the journey's end.-Aragorn (Viggo Mortensen) reclaims his kingly birthright and leads the denizens of Middle Earth in a final battle with Sauron's minions. Along for the ride again are feisty dwarf Gimli (John Rhys-Davies), Legolas (Orlando Bloom) the marksman Elf, and hobbits Merry (Dominic Monaghan) & Pippin (Billy Boyd) doing the best they can to contribute to the cause.The overall hallmark of this concluding chapter is the way in which it pays off all the threads set up in the previous two. This one doesn't have to break new ground, and largely doesn't. It just needs to put an amen to perhaps the most incredible book-to-film adaptation of all-time, which it accomplishes with aplomb. What Jackson really understands is how much of a journey the audience has taken alongside the famous fantasy characters (especially true if experienced during the three-year theatrical run). The end of their journey is also the end of ""ours"", in other words.Specifically notable here is the last half hour or so of runtime, where the visuals, music, direction, & acting meld together to create some of the most emotionally rousing scenes of the whole trilogy. I have yet to behold these moments without a tear being shed.Overall, then, Return of the King is a regal ending to Jackson's masterful vision. It may not break much cinematic new ground, but it doesn't have too. It simply does its job: pay off all the previously-established action, adventure, drama, humor, and (most of all) heart.
                
                    4 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
